YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,SZA,T2MDEW,
2025,9,29,0,21.87,93.7,98.17,2.78,90,20.82,
2025,9,29,1,21.61,94.41,98.16,2.56,90,20.71,
2025,9,29,2,21.33,95.13,98.16,2.41,90,20.53,
2025,9,29,3,21.12,95.33,98.18,2.38,90,20.37,
2025,9,29,4,20.93,95.04,98.21,2.36,90,20.13,
2025,9,29,5,20.8,94.01,98.24,2.33,88.88,19.83,
2025,9,29,6,22.25,84.96,98.28,2.84,78.47,19.62,
2025,9,29,7,24.12,73.49,98.33,2.88,66.31,19.1,
2025,9,29,8,26.09,62.29,98.36,2.82,54.92,18.34,
2025,9,29,9,28.34,48.74,98.35,3.13,45.02,16.49,
2025,9,29,10,30.11,40.05,98.32,3.64,37.9,14.94,
2025,9,29,11,31.07,37.2,98.26,4.23,35.32,14.62,
2025,9,29,12,31.44,36.23,98.19,4.79,38.24,14.54,
2025,9,29,13,31.21,36.62,98.13,5.33,45.59,14.51,
2025,9,29,14,30.34,38.11,98.11,5.78,55.62,14.36,
2025,9,29,15,28.82,41.72,98.12,5.91,67.08,14.39,
2025,9,29,16,26.77,48.76,98.14,5.61,79.28,14.93,
2025,9,29,17,24.18,61.68,98.17,4.69,89.2,16.26,
2025,9,29,18,22.27,75.97,98.22,4.16,90,17.82,
2025,9,29,19,21.5,83.84,98.26,3.77,90,18.66,
2025,9,29,20,21.07,88.02,98.28,3.44,90,19.02,
2025,9,29,21,20.87,89.49,98.29,3.28,90,19.1,
2025,9,29,22,20.7,90.36,98.27,2.99,90,19.09,
2025,9,29,23,20.59,90.96,98.26,2.67,90,19.09,
2025,9,30,0,20.64,90.6,98.24,2.34,90,19.07,
2025,9,30,1,20.7,89.92,98.21,1.99,90,19.02,
2025,9,30,2,20.72,89.4,98.18,1.73,90,18.93,
2025,9,30,3,20.72,89.13,98.17,1.54,90,18.89,
2025,9,30,4,20.7,89.2,98.18,1.42,90,18.87,
2025,9,30,5,20.61,89.71,98.2,1.36,86.78,18.88,
2025,9,30,6,21.85,82.81,98.23,1.78,74.71,18.81,
2025,9,30,7,24.05,68.31,98.28,2.22,62.15,17.85,
2025,9,30,8,26.52,53.25,98.31,2.73,49.91,16.17,
2025,9,30,9,28.63,44.44,98.3,3.76,38.54,15.19,
2025,9,30,10,29.68,42.19,98.28,4.84,29.29,15.3,
2025,9,30,11,30.08,42.32,98.25,5.71,24.78,15.7,
2025,9,30,12,29.97,43.78,98.21,6.3,27.51,16.16,
2025,9,30,13,29.47,46.14,98.19,6.56,35.85,16.55,
2025,9,30,14,28.65,49.8,98.17,6.62,46.83,17.05,
2025,9,30,15,27.47,55.2,98.16,6.42,58.92,17.63,
2025,9,30,16,25.9,62.83,98.17,5.79,71.45,18.24,
2025,9,30,17,23.96,73.25,98.18,4.61,84.05,18.86,
2025,9,30,18,22.83,81.28,98.21,4.13,90,19.45,
2025,9,30,19,22.37,83.72,98.23,3.98,90,19.49,
2025,9,30,20,21.95,84.72,98.24,3.78,90,19.27,
2025,9,30,21,21.58,84.9,98.23,3.56,90,18.93,
2025,9,30,22,21.25,84.65,98.2,3.43,90,18.56,
