YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,T2MDEW,SZA
2024,10,1,0,0,21.8,85.58,97.72,2.07,19.28,90
2024,10,1,1,0,21.78,86.3,97.68,2.05,19.4,90
2024,10,1,2,0,21.7,88.49,97.66,2.19,19.72,90
2024,10,1,3,0,21.56,91.03,97.65,2.4,20.04,90
2024,10,1,4,0,21.49,93.17,97.65,2.58,20.35,90
2024,10,1,5,5.15,21.57,93.92,97.65,2.83,20.57,89.01
2024,10,1,6,98.55,22.97,86.48,97.68,3.65,20.61,78.8
2024,10,1,7,241.07,24.86,73.79,97.71,4.71,19.87,66.69
2024,10,1,8,423.6,26.35,63.69,97.73,5.38,18.94,55.39
2024,10,1,9,561.95,27.48,56.74,97.74,6.1,18.16,45.62
2024,10,1,10,654.95,28.07,52.34,97.74,6.83,17.42,38.65
2024,10,1,11,641.75,28.04,50.22,97.72,7.45,16.74,36.19
2024,10,1,12,621.75,27.78,49.03,97.7,7.78,16.11,39.11
2024,10,1,13,512.12,27.36,48.84,97.69,7.82,15.64,46.39
2024,10,1,14,363.4,26.79,49.61,97.68,7.76,15.36,56.34
2024,10,1,15,217.77,25.9,51.74,97.69,7.57,15.19,67.75
2024,10,1,16,86.38,24.57,56.51,97.71,7,15.33,79.91
2024,10,1,17,3.25,22.93,64.16,97.73,5.63,15.77,89.41
2024,10,1,18,0,21.89,71.02,97.77,4.78,16.39,90
2024,10,1,19,0,21.5,74.27,97.8,4.4,16.71,90
2024,10,1,20,0,21.13,77.35,97.81,4.19,17.01,90
2024,10,1,21,0,21.11,77.25,97.81,4.23,16.98,90
2024,10,1,22,0,21.12,76.39,97.8,4.21,16.82,90
2024,10,1,23,0,21.06,75.92,97.79,4.18,16.64,90
2024,10,2,0,0,20.98,75.54,97.78,4.09,16.51,90
2024,10,2,1,0,20.86,75.53,97.77,3.98,16.38,90
2024,10,2,2,0,20.73,75.81,97.75,3.8,16.31,90
2024,10,2,3,0,20.57,76.31,97.77,3.58,16.27,90
2024,10,2,4,0,20.44,76.43,97.79,3.32,16.18,90
2024,10,2,5,6.22,20.27,76.16,97.83,3,15.95,89.06
2024,10,2,6,127.97,21.34,69.76,97.88,3.27,15.62,78.95
2024,10,2,7,318.55,23.02,60.15,97.95,3.74,14.89,66.87
2024,10,2,8,508.23,24.43,53.5,97.99,3.8,14.37,55.6
2024,10,2,9,633.33,25.93,47.82,98,3.99,14.01,45.89
2024,10,2,10,754.03,27.19,43.23,98,4.41,13.57,38.99
2024,10,2,11,785.15,27.92,40.68,97.99,4.92,13.24,36.58
2024,10,2,12,754.9,28.11,40.14,97.98,5.35,13.2,39.5
